Home Team Players,Home Team Rating,Home Team Attack Rating,Home Team Midfield Rating,Home Team Defence Rating,Away Team Players,Away Team Rating,Away Team Attack Rating,Away Team Midfield Rating,Away Team Defence Rating
14,823.7111111,200.6666667,255.4444444,367.6,14,820.0555556,148.7333333,302.8666667,"368.455555556
"
14,903.4333333,106.0555556,390.3777778,407,14,894.5888889,199.0888889,334.5,"361
"
14,761.0333333,81.04444444,271.9888889,408,14,774.8111111,147,289.0777778,"338.733333333
"
14,855.0555556,302.4555556,160.6,392,14,818.5333333,82,380.3333333,"356.2
"
14,782.5555556,219.2,135.7333333,427.6222222,14,899.9444444,213.4222222,301.5222222,"385
"
13,873.3111111,159.3888889,314.9222222,399,14,890.4555556,83,398.4555556,"409
"
14,777,71.97777778,343.4888889,361.5333333,14,865.5555556,118.4444444,298.1111111,"449.0
"
14,821.8777778,159.9777778,288.9,373,14,845,113.5,331.5,"400.0
"
14,806.9555556,150.9,283.0555556,373,14,781.6333333,230.3111111,219.4666667,"331.855555556
"
14,822.0444444,286.4,151.6444444,384,14,768.1444444,183.0666667,214.0777778,"371
"
14,795.6111111,158.9333333,288.6777778,348,14,815.6111111,143,286.8111111,"385.8
"
14,852.3666667,173.1666667,320.7,358.5,13,806.7888889,211.5888889,216.3333333,"378.866666667
"
12,882.4222222,252.4222222,238,392,14,825.4333333,122.8,271.0777778,"431.555555556
"
13,758.4333333,152,293.4666667,312.9666667,14,737.5111111,221.7333333,218,"297.777777778
"
14,843.0555556,149.9777778,294.0777778,399,14,865.2555556,301.0555556,172.2,"392.0
"
14,849.6444444,252.5777778,199.0666667,398,14,898.2111111,83,406.2111111,"409
"
14,866.6,175.1777778,330.0888889,361.3333333,12,850.8222222,232.8222222,233,"385
"
14,840.9333333,226.3666667,247.5666667,367,12,807.3333333,76,359,"372.333333333
"
13,872.2,82,400.2,390,14,773.9444444,156.5555556,275.6222222,"341.766666667
"
14,806.3555556,151.4,291.9555556,363,13,879.9444444,172.9444444,395,"312
"
14,787.1111111,210.5,163.1111111,413.5,14,852.5777778,234.0777778,238,"380.5
"
14,851.0555556,153.5444444,312.5111111,385,14,835.9444444,191.1111111,260.8333333,"384
"
14,771.4222222,263.8888889,222.5333333,285,14,782.3333333,209.0555556,234.2,"339.077777778
"
14,882.3555556,90.37777778,391.9777778,400,14,829.9222222,140.7,194,"495.222222222
"
14,864.4555556,174.4222222,316.0333333,374,14,785.0666667,71.84444444,353.2222222,"360
"
14,806.9,204.0333333,227.8666667,375,14,825.9666667,115.1111111,350.8555556,"360
"
14,1005.8,144.5333333,387.6666667,473.6,14,859.0333333,160,263.0333333,"436.0
"
14,866.7,100.0444444,376.6555556,390,14,859.6444444,141.1,307.9333333,"410.611111111
"
14,841.6666667,272.2333333,220.7111111,348.7222222,14,-566.1,247.3111111,-486.5444444,-326.8666667
13,808.1666667,214.8333333,231.8333333,361.5,13,905.4666667,144.0222222,353.4444444,"408
"
14,870.9555556,179.6444444,306.3111111,385,14,812.2666667,187.9666667,203.7,"420.6
"
14,848.5,182.5444444,245.8444444,420.1111111,14,809.2333333,140.7333333,294.5,"374
"
14,782.3,103.5555556,300.7444444,378,14,810.3555556,94.44444444,347.9111111,"368
"
12,808.7777778,151,289,368.7777778,14,791.6555556,151.6111111,270.2111111,"369.833333333
"
14,847.8111111,112,375.8111111,360,14,811.6,71.3,380.3,"360
"
14,869.9555556,225.1,263.8555556,381,14,775.9,139.6,211.6444444,"424.655555556
"
14,805.5444444,272.1333333,218.3555556,315.0555556,14,907.4444444,83,399.7444444,"424.7
"
14,864.3333333,94.75555556,361.5777778,408,13,862.0777778,80,304.2555556,"477.822222222
"
14,788,272.6,154.2,361.2,14,774.0666667,219.8666667,138.2,"416.0
"
14,760.7888889,76.6,326.1888889,358,14,810,152.6666667,279.3333333,"378
"
14,839.8111111,157.6555556,307.1555556,375,14,812.8333333,102.3111111,337.5222222,"373
"
14,776.4666667,110.4,333.4,332.6666667,14,923.5777778,259.7,245.9444444,"417.933333333
"
13,813.8,219.7,227.1,367,14,862.7666667,186.5,301.2666667,"375
"
14,807.3666667,171.6222222,247.1,388.6444444,14,830.2444444,118.8222222,367.7555556,"343.666666667
"
