MId,Home Team,Home Team Goals,Away Team Goals,Away Team,Home Poss,Away Poss,Home ShotsT,Away ShotsT,Home Shots,Away Shots,Home Touches,Away Touches,Home Passes,Away Passes,Home Tackles,Away Tackles,Home Clearances,Away Clearances,Home Corners,Away Corners,Home Offsides,Away Offsides,HTP,HTR,HTAR,HTMR,HTDR,ATP,ATR,ATAR,ATMR,ATDR
9377,WBA,0,2,NOR,63.8,36.2,12,3,26,8,756,526,524,302,15,11,23,42,10,3,1,0,14,748.3,163.3,266.5,318.5,14,836.436,147.532,304.516,384.388
9373,MUFC,0,1,NUFC,47.1,52.9,4,3,8,9,609,678,374,438,23,29,32,22,4,4,2,2,14,884.532,171.0,227.399,486.133,14,884.468,105.69,303.835,474.943
9363,FUL,1,2,TOT,39.4,60.6,6,5,16,18,578,755,321,533,23,15,36,34,9,7,4,0,14,766.674,135.0,272.034,359.64,14,815.944,79.734,281.21,455.0
9370,WBA,2,3,MCFC,41.9,58.1,1,5,12,15,604,773,408,571,26,22,19,28,3,3,2,1,14,798.957,161.46,287.497,350.0,14,926.263,150.496,375.767,400.0
9362,ARS,2,0,HUL,66.6,33.4,7,2,20,7,1001,566,803,389,11,21,25,17,11,1,1,2,14,886.341,213.516,281.825,391.0,14,801.888,203.46,288.576,309.852
9364,LIV,5,1,NOR,61.8,38.2,12,5,28,14,822,561,603,356,23,18,25,18,4,0,2,0,13,862.454,250.628,219.826,392.0,14,806.697,125.141,294.013,387.543
9365,MUFC,0,1,EVE,52,48,6,4,18,15,707,669,460,437,17,23,29,49,7,4,1,2,14,832.652,165.4,228.664,438.588,14,883.07,174.242,326.828,382.0
9366,SOT,2,3,AVL,78.1,21.9,9,3,21,6,930,397,710,196,16,24,11,35,8,2,3,6,14,838.822,155.0,261.156,422.666,14,802.862,168.36,216.744,417.758
9367,STK,0,0,CAR,59.2,40.8,2,3,17,14,720,556,478,320,15,16,19,47,2,5,6,3,13,797.182,96.85,344.706,355.626,12,780.856,132.632,294.224,354.0
9368,SUN,3,4,CHE,45,55,3,5,12,19,579,713,391,500,17,17,20,36,6,5,0,0,14,775.387,82.436,328.951,364.0,14,943.946,159.744,376.202,408.0
9369,SWAN,3,0,NUFC,65.4,34.6,5,3,13,14,957,600,744,384,17,27,25,22,5,1,1,0,14,905.374,299.858,227.516,378.0,14,837.08,132.08,244.408,460.592
9361,CRY,1,0,WHU,37,63,5,2,10,11,498,705,265,457,21,24,61,43,3,4,2,6,14,767.986,145.824,262.298,359.864,14,819.741,182.121,251.7,385.92
9357,CHE,3,1,SOT,51,49,7,1,16,9,647,616,367,358,34,29,31,47,8,4,7,1,14,834.247,208.094,218.153,408.0,14,818.116,98.456,278.332,441.328
9359,MCFC,3,0,SWAN,45.5,54.5,7,4,22,9,681,762,495,596,14,19,17,17,5,4,3,2,14,924.716,160.264,346.052,418.4,13,821.216,326.877,123.339,371.0
9358,HUL,3,1,LIV,38.5,61.5,4,4,12,9,564,786,355,576,25,14,30,41,2,6,3,0,14,779.053,197.568,290.748,290.737,13,880.408,187.758,302.65,390.0
9360,TOT,2,2,MUFC,40,60,4,3,10,8,525,686,304,463,24,22,20,40,7,7,2,1,14,864.326,65.6,389.326,409.4,14,873.685,155.752,235.933,482.0
9354,NUFC,2,1,WBA,53.1,46.9,6,1,14,14,644,628,447,397,23,18,22,43,3,3,4,0,13,844.757,149.732,232.025,463.0,14,781.382,143.97,287.412,350.0
